phage	div
1.003.O.	1
1.004.O.	2
1.005.O.	3
1.007.O.	4
1.008.O.	5
1.009.O.	6
1.011.O.	5
1.012.O.	7
1.013.O.	8
1.015.O.	9
1.016.O.	10
1.017.O.	11
1.020.O.	12
1.021.A.	13
1.021.B.	13
1.021.C.	13
1.022.O.	14
1.023.O.	15
1.024.O.	16
1.025.O.	17
1.026.O.	17
1.027.O.	18
1.028.O.	19
1.029.O.	20
1.030.O.	21
1.031.O.	22
1.032.O.	23
1.033.O.	24
1.034.O.	25
1.034.X.	25
1.036.O.	26
1.037.O.	2
1.038.O.	27
1.039.O.	28
1.040.O.	5
1.042.O.	29
1.043.O.	30
1.044.O.	30
1.046.O.	31
1.047.O.	32
1.048.O.	30
1.049.O.	33
1.050.O.	33
1.052.A.	34
1.054.O.	35
1.055.O.	36
1.056.O.	2
1.057.O.	30
1.060.A.	37
1.061.O.	38
1.062.O.	5
1.063.O.	39
1.064.O.	40
1.066.O.	2
1.067.O.	41
1.068.O.	2
1.069.O.	5
1.070.O.	42
1.071.A.	43
1.072.O.	2
1.074.O.	44
1.075.O.	11
1.076.O.	45
1.077.O.	42
1.079.O.	46
1.080.O.	30
1.081.O.	47
1.082.O.	48
1.083.O.	49
1.084.O.	50
1.085.O.	51
1.086.O.	52
1.087.A.	53
1.088.O.	54
1.089.O.	7
1.090.B.	55
1.091.O.	56
1.093.O.	11
1.094.O.	11
1.095.O.	30
1.097.O.	57
1.098.O.	7
1.100.O.	58
1.101.O.	59
1.102.O.	30
1.103.O.	60
1.104.O.	61
1.105.O.	62
1.106.O.	63
1.107.A.	30
1.107.B.	30
1.107.C.	30
1.108.O.	40
1.110.O.	64
1.111.A.	65
1.111.B.	65
1.112.O.	66
1.113.A.	67
1.115.A.	68
1.115.B.	68
1.116.O.	69
1.117.O.	70
1.118.A.	71
1.118.B.	71
1.119.O.	72
1.121.O.	73
1.122.A.	74
1.122.B.	74
1.123.O.	75
1.124.O.	76
1.125.O.	5
1.127.O.	77
1.131.O.	78
1.132.O.	79
1.133.O.	80
1.134.O.	81
1.135.O.	82
1.136.O.	19
1.137.O.	83
1.138.O.	84
1.139.A.	25
1.139.B.	25
1.141.A.	30
1.142.O.	19
1.143.O.	72
1.144.O.	85
1.147.O.	86
1.148.O.	87
1.149.O.	88
1.150.O.	17
1.151.O.	89
1.152.O.	17
1.154.O.	90
1.155.O.	91
1.156.O.	19
1.157.O.	92
1.158.O.	93
1.159.O.	19
1.160.O.	94
1.161.O.	95
1.162.O.	86
1.164.O.	96
1.165.O.	97
1.166.O.	98
1.167.O.	99
1.168.O.	100
1.169.O.	101
1.170.O.	102
1.171.O.	18
1.172.O.	69
1.173.O.	103
1.174.O.	104
1.175.O.	93
1.176.O.	105
1.177.O.	106
1.178.O.	107
1.179.O.	108
1.181.O.	109
1.182.O.	110
1.183.O.	111
1.184.A.	112
1.185.O.	113
1.186.O.	114
1.187.O.	115
1.188.A.	101
1.188.B.	101
1.188.C.	101
1.189.B.	116
1.189.C.	116
1.189.O.	116
1.190.O.	98
1.191.O.	117
1.193.O.	118
1.194.O.	18
1.195.O.	119
1.196.O.	18
1.197.A.	120
1.198.A.	121
1.198.B.	121
1.199.A.	122
1.199.B.	122
1.200.O.	18
1.201.B.	123
1.202.O.	124
1.204.O.	125
1.205.O.	126
1.206.O.	127
1.207.B.	70
1.208.B.	128
1.209.O.	25
1.210.O.	129
1.211.A.	130
1.211.B.	130
1.213.O.	131
1.214.O.	132
1.215.A.	133
1.215.B.	133
1.216.O.	134
1.217.O.	19
1.219.O.	19
1.223.O.	135
1.224.A.	101
1.225.O.	136
1.226.O.	137
1.228.O.	138
1.231.O.	72
1.232.O.	139
1.233.A.	140
1.233.B.	140
1.235.O.	141
1.236.O.	142
1.237.A.	143
1.237.B.	143
1.238.A.	144
1.238.B.	144
1.239.O.	145
1.240.O.	146
1.242.O.	147
1.243.O.	148
1.244.A.	149
1.245.O.	150
1.246.O.	151
1.247.A.	152
1.247.B.	152
1.248.O.	153
1.249.A.	154
1.249.B.	154
1.250.O.	155
1.251.O.	156
1.253.O.	141
1.254.O.	157
1.255.O.	149
1.256.O.	158
1.257.O.	108
1.259.O.	159
1.261.O.	101
1.262.O.	160
1.263.A.	161
1.263.B.	161
1.264.O.	162
1.265.O.	163
1.266.O.	164
1.267.O.	18
1.268.A.	18
1.268.B.	18
1.269.O.	119
1.270.A.	18
1.270.B.	18
1.271.A.	18
1.271.B.	18
1.272.O.	18
1.273.O.	165
1.274.O.	18
1.275.O.	166
1.276.O.	167
1.277.A.	18
1.277.B.	168
1.278.O.	169
1.280.O.	18
1.281.O.	18
1.282.A.	18
1.283.A.	119
1.283.B.	119
1.283.C.	119
1.284.A.	170
1.285.O.	171
1.286.O.	172
1.287.O.	170
1.289.A.	170
1.291.O.	173
1.293.O.	174
12G01.O.	175
2.044.O.	176
2.058.O.	177
2.092.O.	5
2.095.A.	178
2.095.B.	178
2.096.O.	179
2.117.O.	70
2.130.O.	17
2.159.A.	19
2.159.B.	19
2.275.O.	180
3.058.O.	177
