phage	family	subfamily	order
1.094.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.231.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.191.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.021.B.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.233.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.025.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.249.B.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.143.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.266.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.225.O.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.289.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.194.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.032.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.026.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.165.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.066.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.284.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.246.O.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.262.O.	 Podoviridae 	 LUZ24-like viruses 	 Caudovirales 
1.020.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.100.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
2.096.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.119.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.037.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
2.130.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.024.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.168.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.271.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.101.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.113.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.034.X.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.243.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.282.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.077.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.052.A.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.149.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.196.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.007.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.062.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.256.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.012.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.048.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.236.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.242.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.083.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.004.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.135.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.095.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.110.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
2.159.B.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.142.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.177.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.293.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.265.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.038.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.088.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.281.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.215.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.106.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.278.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.009.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.245.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.115.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.172.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.105.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.237.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.170.O.	 Myoviridae 	 Tevenvirinae	 Caudovirales 
1.063.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.022.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
2.095.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.134.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
2.095.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.068.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.182.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.189.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
2.092.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.167.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.238.A.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.028.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.139.B.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.082.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.117.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.201.B.	 Siphoviridae 	 Lambda-like viruses 	 Caudovirales 
1.240.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.111.B.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.200.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.277.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.181.O.	 Siphoviridae 	 T1-like viruses 	 Caudovirales 
1.239.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.043.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
2.275.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.093.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.131.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.089.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.137.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.055.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.263.B.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.291.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.013.O.	 Myoviridae 	 unassigned Myoviridae	 Caudovirales 
1.121.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.040.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.108.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.118.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.205.O.	 Siphoviridae 	 Lambda-like viruses 	 Caudovirales 
1.198.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.269.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.178.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.159.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.206.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.132.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.116.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.064.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.067.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.005.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.223.O.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.090.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.188.C.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.031.O.	 Myoviridae 	 Tevenvirinae	 Caudovirales 
1.263.A.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.133.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.104.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.267.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.187.O.	 Myoviridae 	 Tevenvirinae	 Caudovirales 
1.034.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.112.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.158.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.264.O.	 Bacteriophage PA11 	unclassified	 unclassified dsDNA phages
