"phage"	"cov_category"
"1"	"1.005.O."	"short_internal_peak"
"2"	"1.015.O."	"short_internal_peak"
"3"	"1.021.B."	"short_internal_peak"
"4"	"1.021.C."	"short_internal_peak"
"5"	"1.024.O."	"short_internal_peak"
"6"	"1.026.O."	"short_internal_peak"
"7"	"1.034.X."	"short_internal_peak"
"8"	"1.084.O."	"short_internal_peak"
"9"	"1.101.O."	"short_internal_peak"
"10"	"1.138.O."	"short_internal_peak"
"11"	"1.150.O."	"short_internal_peak"
"12"	"1.151.O."	"short_internal_peak"
"13"	"1.152.O."	"short_internal_peak"
"14"	"1.158.O."	"short_internal_peak"
"15"	"1.179.O."	"short_internal_peak"
"16"	"1.183.O."	"short_internal_peak"
"17"	"1.184.A."	"short_internal_peak"
"18"	"1.187.O."	"short_internal_peak"
"19"	"1.188.A."	"short_internal_peak"
"20"	"1.188.B."	"short_internal_peak"
"21"	"1.193.O."	"short_internal_peak"
"22"	"1.204.O."	"short_internal_peak"
"23"	"1.208.B."	"short_internal_peak"
"24"	"1.211.A."	"short_internal_peak"
"25"	"1.211.B."	"short_internal_peak"
"26"	"1.215.A."	"short_internal_peak"
"27"	"1.224.A."	"short_internal_peak"
"28"	"1.238.A."	"short_internal_peak"
"29"	"1.238.B."	"short_internal_peak"
"30"	"1.245.O."	"short_internal_peak"
"31"	"1.254.O."	"short_internal_peak"
"32"	"1.257.O."	"short_internal_peak"
"33"	"1.261.O."	"short_internal_peak"
"34"	"1.262.O."	"short_internal_peak"
"35"	"1.293.O."	"short_internal_peak"
"36"	"2.130.O."	"short_internal_peak"
"37"	"1.136.O."	"mu_pattern"
"38"	"1.142.O."	"mu_pattern"
"39"	"1.156.O."	"mu_pattern"
"40"	"1.159.O."	"mu_pattern"
"41"	"1.217.O."	"mu_pattern"
"42"	"1.219.O."	"mu_pattern"
"43"	"2.159.A."	"mu_pattern"
"44"	"2.159.B."	"mu_pattern"
"45"	"1.017.O."	"cos_pattern"
"46"	"1.030.O."	"cos_pattern"
"47"	"1.034.O."	"cos_pattern"
"48"	"1.037.O."	"cos_pattern"
"49"	"1.056.O."	"cos_pattern"
"50"	"1.066.O."	"cos_pattern"
"51"	"1.068.O."	"cos_pattern"
"52"	"1.070.O."	"cos_pattern"
"53"	"1.072.O."	"cos_pattern"
"54"	"1.075.O."	"cos_pattern"
"55"	"1.077.O."	"cos_pattern"
"56"	"1.086.O."	"cos_pattern"
"57"	"1.087.A."	"cos_pattern"
"58"	"1.093.O."	"cos_pattern"
"59"	"1.094.O."	"cos_pattern"
"60"	"1.100.O."	"cos_pattern"
"61"	"1.111.A."	"cos_pattern"
"62"	"1.111.B."	"cos_pattern"
"63"	"1.124.O."	"cos_pattern"
"64"	"1.139.A."	"cos_pattern"
"65"	"1.139.B."	"cos_pattern"
"66"	"1.154.O."	"cos_pattern"
