groupi	groupj	w
1.003.O.	1.004.O.	1
1.003.O.	1.005.O.	2
1.003.O.	1.007.O.	4
1.003.O.	1.012.O.	1
1.003.O.	1.013.O.	3
1.003.O.	1.016.O.	22
1.003.O.	1.017.O.	1
1.003.O.	1.025.O.	2
1.003.O.	1.026.O.	2
1.003.O.	1.027.O.	2
1.003.O.	1.028.O.	1
1.003.O.	1.030.O.	2
1.003.O.	1.031.O.	1
1.003.O.	1.032.O.	1
1.003.O.	1.036.O.	41
1.003.O.	1.038.O.	21
1.003.O.	1.039.O.	50
1.003.O.	1.042.O.	30
1.003.O.	1.047.O.	4
1.003.O.	1.052.A.	2
1.003.O.	1.054.O.	6
1.003.O.	1.056.O.	1
1.003.O.	1.060.A.	2
1.003.O.	1.061.O.	50
1.003.O.	1.064.O.	3
1.003.O.	1.066.O.	1
1.003.O.	1.067.O.	48
1.003.O.	1.068.O.	1
1.003.O.	1.071.A.	23
1.003.O.	1.074.O.	2
1.003.O.	1.075.O.	1
1.003.O.	1.076.O.	1
1.003.O.	1.079.O.	47
1.003.O.	1.081.O.	1
1.003.O.	1.082.O.	2
1.003.O.	1.084.O.	3
1.003.O.	1.085.O.	2
1.003.O.	1.086.O.	1
1.003.O.	1.087.A.	1
1.003.O.	1.089.O.	1
1.003.O.	1.090.B.	41
1.003.O.	1.091.O.	48
1.003.O.	1.093.O.	1
1.003.O.	1.094.O.	1
1.003.O.	1.097.O.	2
1.003.O.	1.098.O.	1
1.003.O.	1.100.O.	2
1.003.O.	1.101.O.	2
1.003.O.	1.103.O.	1
1.003.O.	1.105.O.	4
1.003.O.	1.106.O.	3
1.003.O.	1.108.O.	3
1.003.O.	1.110.O.	1
1.003.O.	1.111.A.	2
1.003.O.	1.111.B.	2
1.003.O.	1.112.O.	18
1.003.O.	1.113.A.	2
1.003.O.	1.115.A.	3
1.003.O.	1.115.B.	3
1.003.O.	1.116.O.	3
1.003.O.	1.117.O.	1
1.003.O.	1.118.A.	1
1.003.O.	1.118.B.	1
1.003.O.	1.119.O.	14
1.003.O.	1.122.A.	3
1.003.O.	1.122.B.	3
1.003.O.	1.123.O.	1
1.003.O.	1.124.O.	1
1.003.O.	1.127.O.	17
1.003.O.	1.131.O.	5
1.003.O.	1.132.O.	3
1.003.O.	1.133.O.	4
1.003.O.	1.134.O.	3
1.003.O.	1.135.O.	20
1.003.O.	1.136.O.	1
1.003.O.	1.137.O.	18
1.003.O.	1.142.O.	1
1.003.O.	1.143.O.	14
1.003.O.	1.144.O.	18
1.003.O.	1.147.O.	4
1.003.O.	1.148.O.	3
1.003.O.	1.149.O.	4
1.003.O.	1.150.O.	2
1.003.O.	1.152.O.	2
1.003.O.	1.154.O.	2
1.003.O.	1.156.O.	1
1.003.O.	1.157.O.	4
1.003.O.	1.158.O.	2
1.003.O.	1.159.O.	1
1.003.O.	1.160.O.	1
1.003.O.	1.162.O.	4
1.003.O.	1.164.O.	2
1.003.O.	1.165.O.	2
1.003.O.	1.167.O.	3
1.003.O.	1.168.O.	4
1.003.O.	1.171.O.	2
1.003.O.	1.172.O.	3
1.003.O.	1.173.O.	4
1.003.O.	1.175.O.	2
1.003.O.	1.176.O.	4
1.003.O.	1.177.O.	15
1.003.O.	1.178.O.	20
1.003.O.	1.181.O.	3
1.003.O.	1.182.O.	2
1.003.O.	1.183.O.	4
1.003.O.	1.184.A.	4
1.003.O.	1.185.O.	1
1.003.O.	1.186.O.	3
1.003.O.	1.187.O.	1
1.003.O.	1.189.B.	5
1.003.O.	1.189.C.	5
1.003.O.	1.189.O.	5
1.003.O.	1.191.O.	1
1.003.O.	1.194.O.	2
1.003.O.	1.195.O.	2
1.003.O.	1.196.O.	2
1.003.O.	1.197.A.	2
1.003.O.	1.198.A.	17
1.003.O.	1.198.B.	17
1.003.O.	1.199.A.	4
1.003.O.	1.199.B.	4
1.003.O.	1.200.O.	2
1.003.O.	1.201.B.	1
1.003.O.	1.205.O.	1
1.003.O.	1.206.O.	4
1.003.O.	1.207.B.	1
1.003.O.	1.210.O.	2
1.003.O.	1.211.A.	4
1.003.O.	1.211.B.	4
1.003.O.	1.213.O.	18
1.003.O.	1.214.O.	4
1.003.O.	1.216.O.	14
1.003.O.	1.217.O.	1
1.003.O.	1.219.O.	1
1.003.O.	1.223.O.	2
1.003.O.	1.225.O.	1
1.003.O.	1.226.O.	3
1.003.O.	1.228.O.	4
1.003.O.	1.231.O.	14
1.003.O.	1.232.O.	1
1.003.O.	1.233.A.	3
1.003.O.	1.233.B.	3
1.003.O.	1.236.O.	15
1.003.O.	1.237.A.	1
1.003.O.	1.237.B.	1
1.003.O.	1.239.O.	4
1.003.O.	1.240.O.	1
1.003.O.	1.242.O.	4
1.003.O.	1.243.O.	3
1.003.O.	1.244.A.	1
1.003.O.	1.245.O.	1
1.003.O.	1.246.O.	1
1.003.O.	1.247.A.	4
1.003.O.	1.247.B.	4
1.003.O.	1.248.O.	4
1.003.O.	1.255.O.	1
1.003.O.	1.256.O.	2
1.003.O.	1.262.O.	1
1.003.O.	1.263.A.	4
1.003.O.	1.263.B.	4
1.003.O.	1.265.O.	22
1.003.O.	1.266.O.	3
1.003.O.	1.267.O.	2
1.003.O.	1.268.A.	2
