protein_cluster	dbgrp
pvp1000	13
pvp1000	15
pvp1000	19
pvp1000	27
pvp1000	6
pvp1001	1.029.O.
pvp1001	1.144.O.
pvp1001	1.232.O.
pvp1001	1.276.O.
pvp1001	12
pvp1001	15
pvp1001	18
pvp1001	19
pvp1001	21
pvp1001	23
pvp1001	26
pvp1001	27
pvp1001	3
pvp1001	30
pvp1001	33
pvp1001	34
pvp1001	39
pvp1001	4
pvp1001	41
pvp1001	7
pvp1001	9
pvp1002	1
pvp1002	1.031.O.
pvp1002	10
pvp1002	11
pvp1002	13
pvp1002	15
pvp1002	19
pvp1002	23
pvp1002	3
pvp1002	35
pvp1002	39
pvp1002	4
pvp1002	6
pvp1003	1
pvp1003	1.054.O.
pvp1003	1.123.O.
pvp1003	1.144.O.
pvp1003	1.151.O.
pvp1003	10
pvp1003	15
pvp1003	17
pvp1003	18
pvp1003	23
pvp1003	26
pvp1003	27
pvp1003	3
pvp1003	30
pvp1003	33
pvp1003	4
pvp1003	7
pvp1003	9
pvp1004	1.029.O.
pvp1004	1.275.O.
pvp1004	13
pvp1004	17
pvp1004	18
pvp1004	19
pvp1004	23
pvp1004	3
pvp1004	30
pvp1004	4
pvp1004	6
pvp1005	1
pvp1005	1.054.O.
pvp1005	1.123.O.
pvp1005	1.144.O.
pvp1005	1.205.O.
pvp1005	15
pvp1005	19
pvp1005	21
pvp1005	24
pvp1005	25
pvp1005	26
pvp1005	27
pvp1005	3
pvp1005	4
pvp1005	7
pvp1005	9
pvp1006	1.144.O.
pvp1006	1.151.O.
pvp1006	1.276.O.
pvp1006	15
pvp1006	19
pvp1006	26
pvp1006	27
pvp1006	33
pvp1007	1.009.O.
pvp1007	13
pvp1007	16
pvp1007	2
pvp1007	25
pvp1007	6
pvp1008	1.029.O.
pvp1008	1.182.O.
pvp1008	11
pvp1008	12
pvp1008	15
pvp1008	19
pvp1008	27
pvp1008	3
pvp1008	30
pvp1008	32
pvp1008	34
pvp1008	35
pvp1008	4
pvp1009	1.009.O.
pvp1009	13
pvp1009	16
pvp1009	2
pvp1009	6
pvp1010	13
pvp1010	16
pvp1010	2
pvp1010	6
pvp1011	1
pvp1011	1.144.O.
pvp1011	1.276.O.
pvp1011	13
pvp1011	26
pvp1011	27
pvp1011	9
pvp1012	1
pvp1012	1.029.O.
pvp1012	1.232.O.
pvp1012	1.276.O.
pvp1012	15
pvp1012	26
pvp1012	27
pvp1012	29
pvp1012	3
pvp1012	32
pvp1012	38
pvp1012	4
pvp1012	6
pvp1012	7
pvp1012	8
pvp1013	1.151.O.
pvp1013	1.276.O.
pvp1013	19
pvp1013	26
pvp1013	27
pvp1013	33
pvp1014	1
pvp1014	1.144.O.
pvp1014	1.276.O.
pvp1014	15
pvp1014	19
pvp1014	26
pvp1014	27
pvp1014	30
pvp1014	38
pvp1014	4
pvp1015	1.276.O.
pvp1015	19
pvp1015	26
pvp1015	27
pvp1015	33
pvp1016	1.029.O.
pvp1016	13
pvp1016	4
pvp1016	6
pvp1017	13
pvp1017	3
pvp1017	30
pvp1017	4
pvp1017	6
pvp1018	1
pvp1018	1.182.O.
pvp1018	12
pvp1018	19
pvp1018	26
pvp1018	27
pvp1018	9
pvp1019	1
pvp1019	13
pvp1019	3
pvp1019	6
pvp1020	1.182.O.
pvp1020	11
pvp1020	12
pvp1020	19
pvp1020	22
pvp1020	24
pvp1020	27
pvp1020	30
pvp1020	37
pvp1020	4
pvp1020	6
pvp1021	13
pvp1021	15
pvp1021	6
pvp1022	1.144.O.
pvp1022	13
pvp1022	17
pvp1022	6
pvp1023	1.123.O.
pvp1023	15
pvp1023	21
pvp1023	24
pvp1023	3
pvp1023	4
pvp1024	1.009.O.
pvp1024	1.029.O.
pvp1024	1.054.O.
pvp1024	10
pvp1024	23
pvp1024	3
pvp1024	4
pvp1024	9
pvp1025	13
pvp1025	6
pvp1026	13
pvp1026	6
pvp1027	1
pvp1027	1.144.O.
pvp1027	1.276.O.
pvp1027	26
pvp1027	27
pvp1027	33
pvp1027	4
pvp1027	9
pvp1028	13
pvp1028	6
pvp1029	13
pvp1029	6
pvp1030	13
pvp1030	6
pvp1031	13
pvp1031	6
pvp1032	13
pvp1032	6
pvp1033	13
pvp1033	6
pvp1034	13
pvp1034	6
pvp1035	13
pvp1035	6
pvp1036	13
pvp1036	6
pvp1037	13
pvp1037	6
pvp1038	13
pvp1038	6
pvp1039	13
pvp1039	6
pvp1040	13
pvp1040	6
pvp1041	13
pvp1041	6
pvp1042	13
pvp1042	6
pvp1043	13
pvp1043	6
pvp1044	13
pvp1044	6
pvp1045	13
pvp1045	6
pvp1046	13
pvp1046	6
pvp1047	13
pvp1047	6
