phage	euclidean_clusters_eps15
1.003.O.	1
1.004.O.	2
1.005.O.	3
1.007.O.	4
1.008.O.	5
1.009.O.	6
1.011.O.	5
1.012.O.	7
1.013.O.	8
1.015.O.	9
1.016.O.	10
1.017.O.	11
1.020.O.	5
1.021.A.	12
1.021.B.	12
1.021.C.	12
1.022.O.	7
1.023.O.	7
1.024.O.	7
1.025.O.	13
1.026.O.	13
1.027.O.	14
1.028.O.	15
1.029.O.	16
1.030.O.	3
1.031.O.	6
1.032.O.	7
1.033.O.	7
1.034.O.	9
1.034.X.	9
1.036.O.	1
1.037.O.	2
1.038.O.	10
1.039.O.	1
1.040.O.	5
1.042.O.	10
1.043.O.	5
1.044.O.	5
1.046.O.	7
1.047.O.	17
1.048.O.	5
1.049.O.	18
1.050.O.	18
1.052.A.	6
1.054.O.	16
1.055.O.	18
1.056.O.	2
1.057.O.	5
1.060.A.	17
1.061.O.	1
1.062.O.	5
1.063.O.	0
1.064.O.	19
1.066.O.	2
1.067.O.	1
1.068.O.	2
1.069.O.	5
1.070.O.	20
1.071.A.	10
1.072.O.	2
1.074.O.	19
1.075.O.	11
1.076.O.	21
1.077.O.	20
1.079.O.	1
1.080.O.	5
1.081.O.	22
1.082.O.	19
1.083.O.	18
1.084.O.	0
1.085.O.	19
1.086.O.	3
1.087.A.	3
1.088.O.	7
1.089.O.	7
1.090.B.	1
1.091.O.	1
1.093.O.	11
1.094.O.	11
1.095.O.	5
1.097.O.	0
1.098.O.	7
1.100.O.	3
1.101.O.	0
1.102.O.	5
1.103.O.	7
1.104.O.	7
1.105.O.	4
1.106.O.	4
1.107.A.	5
1.107.B.	5
1.107.C.	5
1.108.O.	19
1.110.O.	19
1.111.A.	23
1.111.B.	23
1.112.O.	10
1.113.A.	17
1.115.A.	19
1.115.B.	19
1.116.O.	19
1.117.O.	24
1.118.A.	7
1.118.B.	7
1.119.O.	25
1.121.O.	0
1.122.A.	8
1.122.B.	8
1.123.O.	6
1.124.O.	3
1.125.O.	5
1.127.O.	25
1.131.O.	19
1.132.O.	19
1.133.O.	19
1.134.O.	19
1.135.O.	25
1.136.O.	15
1.137.O.	25
1.138.O.	26
1.139.A.	9
1.139.B.	9
1.141.A.	5
1.142.O.	15
1.143.O.	25
1.144.O.	25
1.147.O.	19
1.148.O.	19
1.149.O.	4
1.150.O.	13
1.151.O.	6
1.152.O.	13
1.154.O.	6
1.155.O.	6
1.156.O.	15
1.157.O.	19
1.158.O.	3
1.159.O.	15
1.160.O.	7
1.161.O.	0
1.162.O.	19
1.164.O.	3
1.165.O.	19
1.166.O.	6
1.167.O.	19
1.168.O.	19
1.169.O.	27
1.170.O.	0
1.171.O.	14
1.172.O.	19
1.173.O.	4
1.174.O.	3
1.175.O.	3
1.176.O.	19
1.177.O.	25
1.178.O.	25
1.179.O.	26
1.181.O.	3
1.182.O.	0
1.183.O.	6
1.184.A.	6
1.185.O.	12
1.186.O.	4
1.187.O.	0
1.188.A.	27
1.188.B.	27
1.188.C.	27
1.189.B.	19
1.189.C.	19
1.189.O.	19
1.190.O.	6
1.191.O.	3
1.193.O.	0
1.194.O.	14
1.195.O.	14
1.196.O.	14
1.197.A.	17
1.198.A.	28
1.198.B.	28
1.199.A.	4
1.199.B.	4
1.200.O.	14
1.201.B.	3
1.202.O.	6
1.204.O.	6
1.205.O.	6
1.206.O.	19
1.207.B.	24
1.208.B.	29
1.209.O.	9
1.210.O.	21
1.211.A.	6
1.211.B.	6
1.213.O.	25
1.214.O.	8
1.215.A.	30
1.215.B.	30
1.216.O.	25
1.217.O.	15
1.219.O.	15
1.223.O.	3
1.224.A.	27
1.225.O.	3
1.226.O.	19
1.228.O.	19
1.231.O.	25
1.232.O.	6
1.233.A.	19
1.233.B.	19
1.235.O.	31
1.236.O.	25
1.237.A.	7
1.237.B.	7
1.238.A.	32
1.238.B.	32
1.239.O.	19
1.240.O.	19
1.242.O.	19
1.243.O.	4
1.244.A.	33
1.245.O.	32
1.246.O.	3
1.247.A.	8
1.247.B.	8
1.248.O.	4
1.249.A.	6
1.249.B.	6
1.250.O.	7
1.251.O.	7
1.253.O.	31
1.254.O.	26
1.255.O.	33
1.256.O.	4
1.257.O.	26
1.259.O.	6
1.261.O.	27
1.262.O.	6
1.263.A.	4
1.263.B.	4
1.264.O.	6
1.265.O.	25
1.266.O.	19
1.267.O.	14
1.268.A.	14
1.268.B.	14
1.269.O.	14
1.270.A.	14
1.270.B.	14
1.271.A.	14
1.271.B.	14
1.272.O.	14
1.273.O.	4
1.274.O.	14
1.275.O.	6
1.276.O.	25
1.277.A.	14
1.277.B.	14
1.278.O.	4
1.280.O.	14
1.281.O.	14
1.282.A.	14
1.283.A.	14
1.283.B.	14
1.283.C.	14
1.284.A.	17
1.285.O.	7
1.286.O.	4
1.287.O.	17
1.289.A.	17
1.291.O.	17
1.293.O.	29
12G01.O.	1
2.044.O.	2
2.058.O.	34
2.092.O.	5
2.095.A.	25
2.095.B.	25
2.096.O.	18
2.117.O.	24
2.130.O.	13
2.159.A.	15
2.159.B.	15
2.275.O.	22
3.058.O.	34
