phages	num_hosts	host_distances	sizes	module	prelim_grp	hclust_grp
1.150.O.	6	99.0579725945915	75796	8	5	11
1.025.O.	6	99.0579725945915	75797	8	5	11
2.130.O.	6	99.0579725945915	75797	8	5	11
1.152.O.	6	99.0579725945915	75798	8	5	11
1.026.O.	6	99.0579725945915	75880	8	5	11
1.202.O.	2	98.3966361597278	32014	3	17	24
1.293.O.	9	97.5414945000881	48275	3	8	7
1.215.B.	22	81.9312202203816	80834	3	10	26
1.215.A.	26	64.3177518440576	80834	3	10	26
1.151.O.	1	100	44307	none	1	22
1.204.O.	2	99.3881233902555	44168	none	11	25
1.020.O.	2	84.806543135029	10636	none	15	9
1.034.O.	19	94.4383983074352	44398	2	8	7
1.139.A.	15	94.4383983074352	43893	2	8	7
1.139.B.	16	75.0176302393866	44094	2	8	7
1.034.X.	16	94.4383983074352	44383	2	8	7
1.131.O.	1	100	37933	2	6	17
1.117.O.	12	94.424665518641	55794	2	13	20
2.117.O.	15	94.424665518641	55795	2	13	20
1.207.B.	11	94.424665518641	55793	2	13	20
1.209.O.	10	94.6028593163239	43712	2	8	7
1.115.B.	1	100	37416	2	6	17
1.115.A.	1	100	37416	2	6	17
1.074.O.	1	100	36922	2	6	17
1.033.O.	2	99.4773518842903	61206	1	4	5
1.011.O.	40	73.5705940285178	10579	1	15	4
1.040.O.	36	81.4048195848826	10579	1	15	4
1.043.O.	32	81.4048195848826	10272	1	15	4
1.044.O.	34	81.4048195848826	10272	1	15	4
1.048.O.	31	81.4048195848826	10447	1	15	4
1.057.O.	24	81.6924375811977	10273	1	15	4
1.062.O.	36	81.4048195848826	10579	1	15	4
1.080.O.	35	75.9762045288419	10046	1	15	4
1.095.O.	36	81.4048195848826	10436	1	15	4
1.102.O.	35	81.6924375811977	10447	1	15	4
1.125.O.	38	81.6924375811977	10578	1	15	4
1.141.A.	34	81.0763657141695	10047	1	15	4
1.017.O.	4	84.4857396522124	51290	9	7	2
1.132.O.	1	100	36926	2	6	17
1.224.A.	3	96.2741583836267	71915	2	5	11
1.206.O.	2	98.5920152383146	37551	none	6	17
1.108.O.	2	100	36584	2	6	17
1.064.O.	2	100	36584	2	6	17
1.205.O.	1	100	57861	none	7	22
1.023.O.	1	100	59872	none	4	5
