phage	num_hosts	min_host_similarity	kk_grp	family	order	nucleotide_level_divs	illumina_genome_len	bray_clusters_eps0.9	euclidean_clusters_eps15	eval	term_blast_ld	term_blast_sd	term_clust	term_ortho_sd	term_ortho_ld	cov_category	new_groups_sept
1.003.O.	2	76.7784186493631	1	 Podoviridae 	 Caudovirales 	1	41891	1	1	6e-63	headful/Sf6	Headful	terminase16	NA	NA	even_coverage	1
1.004.O.	5	99.624434239562	14	 Myoviridae 	 Caudovirales 	2	42511	2	2	2e-57	3-cos/HK97	Cos	terminase23	NA	NA	multiple_coverage_peaks	12/14
1.005.O.	1	100	7	 Podoviridae 	 Caudovirales 	3	50301	3	3	1e-60	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	short_internal_peak	7
1.007.O.	1	100	1	 Myoviridae 	 Caudovirales 	4	49244	4	4	3e-65	headful/Sf6	Headful	terminase7	NA	NA	multiple_coverage_peaks	1a
1.008.O.	36	73.5705940285178	15	 Tectivirus	 Tectiviridae	5	10579	5	5	NA	NA	NA	NA	NA	NA	even_coverage	15
1.009.O.	1	100	7	 Podoviridae 	 Caudovirales 	6	44443	0	6	2e-57	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	NA	7
1.011.O.	40	73.5705940285178	15	 Tectivirus	 Tectiviridae	5	10579	5	5	NA	NA	NA	NA	NA	NA	even_coverage	15
1.012.O.	6	75.3096374511435	4	 Siphoviridae 	 Caudovirales 	7	59979	6	7	2e-21	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.013.O.	2	98.2937835087337	9	 Myoviridae 	 Caudovirales 	8	44457	7	8	1e-80	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	multiple_coverage_peaks	9
1.015.O.	1	100	8	 Podoviridae 	 Caudovirales 	9	42586	8	9	1e-11	short DTR/T7	DTR	terminase11	NA	NA	short_internal_peak	8
1.016.O.	2	98.3433123772409	1	 Siphoviridae 	 Caudovirales 	10	48078	9	10	3e-93	headful/Sf6	Headful	terminase22	Headful	headful/Sf6	long_internal_peak	1b
1.017.O.	4	84.4857396522124	7	 Siphoviridae 	 Caudovirales 	11	51290	10	11	2e-61	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	cos_pattern	7
1.020.O.	2	84.806543135029	15	 Tectivirus	 Tectiviridae	12	10636	5	5	NA	NA	NA	NA	NA	NA	NA	15
1.021.A.	1	100	11	 Podoviridae 	 Caudovirales 	13	43743	11	12	NA	NA	NA	terminase31	NA	NA	long_internal_peak	11
1.021.B.	1	100	11	 Podoviridae 	 Caudovirales 	13	43743	11	12	NA	NA	NA	terminase31	NA	NA	short_internal_peak	11
1.021.C.	1	100	11	 Podoviridae 	 Caudovirales 	13	43743	11	12	NA	NA	NA	terminase31	NA	NA	short_internal_peak	11
1.022.O.	1	100	4	 Siphoviridae 	 Caudovirales 	14	62440	6	7	8e-20	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.023.O.	1	100	4	 Siphoviridae 	 Caudovirales 	15	59872	6	7	9e-21	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.024.O.	1	100	4	 Siphoviridae 	 Caudovirales 	16	58892	6	7	1e-18	headful/Sf6	Headful	terminase1	NA	NA	short_internal_peak	4
1.025.O.	6	99.0579725945915	5	 Podoviridae 	 Caudovirales 	17	75797	12	13	0	DTR/N4	DTR	terminase2	DTR	DTR/N4	NA	5
1.026.O.	6	99.0579725945915	5	 Podoviridae 	 Caudovirales 	17	75880	12	13	0	DTR/N4	DTR	terminase2	DTR	DTR/N4	short_internal_peak	5
1.027.O.	19	85.5888274903789	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.028.O.	3	99.3813016118617	17	 Myoviridae 	 Caudovirales 	19	31704	14	15	0	host ends/Mu	Mu	terminase12	Mu	host ends/Mu	NA	17
1.029.O.	1	100	1	 Myoviridae 	 Caudovirales 	20	46513	0	16	2e-39	NoGroup	NoGroup	terminase8	NA	NA	shifts_in_coverage	1b
1.030.O.	1	100	7	 Podoviridae 	 Caudovirales 	21	45827	3	3	6e-71	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	cos_pattern	7
1.031.O.	1	100	3	 Myoviridae 	 Caudovirales 	22	152942	0	6	NA	NA	NA	terminase38	NA	NA	multiple_coverage_peaks	2a
1.032.O.	1	100	4	 Siphoviridae 	 Caudovirales 	23	60399	6	7	4e-21	headful/Sf6	Headful	terminase1	NA	NA	long_internal_peak	4
1.033.O.	2	99.4773518842903	4	 Myoviridae 	 Caudovirales 	24	61206	6	7	4e-18	headful/Sf6	Headful	terminase1	NA	NA	long_internal_peak	4
1.034.O.	19	94.4383983074352	8	 Podoviridae 	 Caudovirales 	25	44398	8	9	1e-11	short DTR/T7	DTR	terminase11	NA	NA	cos_pattern	8
1.034.X.	16	94.4383983074352	8	 Podoviridae 	 Caudovirales 	25	44383	8	9	1e-11	short DTR/T7	DTR	terminase11	NA	NA	short_internal_peak	8
1.036.O.	1	100	1	 Podoviridae 	 Caudovirales 	26	40172	1	1	4e-63	headful/Sf6	Headful	terminase16	NA	NA	even_coverage	1
1.037.O.	6	85.0082782911148	14	 Myoviridae 	 Caudovirales 	2	43111	2	2	2e-57	3-cos/HK97	Cos	terminase23	NA	NA	cos_pattern	12/14
1.038.O.	1	100	1	 Myoviridae 	 Caudovirales 	27	49567	9	10	2e-40	NoGroup	NoGroup	terminase8	NA	NA	shifts_in_coverage	1b
1.039.O.	2	99.5204342627475	1	 Podoviridae 	 Caudovirales 	28	40972	1	1	2e-58	headful/Sf6	Headful	terminase16	NA	NA	even_coverage	1
1.040.O.	36	81.4048195848826	15	 Tectivirus	 Tectiviridae	5	10579	5	5	NA	NA	NA	NA	NA	NA	even_coverage	15
1.042.O.	1	100	1	 Myoviridae 	 Caudovirales 	29	49730	9	10	6e-92	headful/Sf6	Headful	terminase22	Headful	headful/Sf6	even_coverage	1b
1.043.O.	32	81.4048195848826	15	 Tectivirus	 Tectiviridae	30	10272	5	5	NA	NA	NA	NA	NA	NA	even_coverage	15
1.044.O.	34	81.4048195848826	15	 Tectivirus	 Tectiviridae	30	10272	5	5	NA	NA	NA	NA	NA	NA	even_coverage	15
