phage	bray_clusters_eps0.9
1.003.O.	1
1.004.O.	2
1.005.O.	3
1.007.O.	4
1.008.O.	5
1.009.O.	0
1.011.O.	5
1.012.O.	6
1.013.O.	7
1.015.O.	8
1.016.O.	9
1.017.O.	10
1.020.O.	5
1.021.A.	11
1.021.B.	11
1.021.C.	11
1.022.O.	6
1.023.O.	6
1.024.O.	6
1.025.O.	12
1.026.O.	12
1.027.O.	13
1.028.O.	14
1.029.O.	0
1.030.O.	3
1.031.O.	0
1.032.O.	6
1.033.O.	6
1.034.O.	8
1.034.X.	8
1.036.O.	1
1.037.O.	2
1.038.O.	9
1.039.O.	1
1.040.O.	5
1.042.O.	9
1.043.O.	5
1.044.O.	5
1.046.O.	6
1.047.O.	15
1.048.O.	5
1.049.O.	16
1.050.O.	16
1.052.A.	17
1.054.O.	0
1.055.O.	16
1.056.O.	2
1.057.O.	5
1.060.A.	15
1.061.O.	1
1.062.O.	5
1.063.O.	18
1.064.O.	19
1.066.O.	2
1.067.O.	1
1.068.O.	2
1.069.O.	5
1.070.O.	20
1.071.A.	9
1.072.O.	2
1.074.O.	19
1.075.O.	10
1.076.O.	21
1.077.O.	20
1.079.O.	1
1.080.O.	5
1.081.O.	22
1.082.O.	19
1.083.O.	16
1.084.O.	23
1.085.O.	19
1.086.O.	3
1.087.A.	3
1.088.O.	6
1.089.O.	6
1.090.B.	1
1.091.O.	1
1.093.O.	10
1.094.O.	10
1.095.O.	5
1.097.O.	12
1.098.O.	6
1.100.O.	3
1.101.O.	23
1.102.O.	5
1.103.O.	6
1.104.O.	6
1.105.O.	4
1.106.O.	4
1.107.A.	5
1.107.B.	5
1.107.C.	5
1.108.O.	19
1.110.O.	19
1.111.A.	24
1.111.B.	24
1.112.O.	9
1.113.A.	15
1.115.A.	19
1.115.B.	19
1.116.O.	19
1.117.O.	25
1.118.A.	6
1.118.B.	6
1.119.O.	26
1.121.O.	18
1.122.A.	7
1.122.B.	7
1.123.O.	0
1.124.O.	3
1.125.O.	5
1.127.O.	26
1.131.O.	19
1.132.O.	19
1.133.O.	19
1.134.O.	19
1.135.O.	27
1.136.O.	14
1.137.O.	26
1.138.O.	28
1.139.A.	8
1.139.B.	8
1.141.A.	5
1.142.O.	14
1.143.O.	26
1.144.O.	0
1.147.O.	19
1.148.O.	19
1.149.O.	4
1.150.O.	12
1.151.O.	0
1.152.O.	12
1.154.O.	17
1.155.O.	29
1.156.O.	14
1.157.O.	19
1.158.O.	3
1.159.O.	14
1.160.O.	6
1.161.O.	30
1.162.O.	19
1.164.O.	3
1.165.O.	19
1.166.O.	31
1.167.O.	19
1.168.O.	19
1.169.O.	32
1.170.O.	18
1.171.O.	13
1.172.O.	19
1.173.O.	4
1.174.O.	3
1.175.O.	3
1.176.O.	19
1.177.O.	33
1.178.O.	27
1.179.O.	28
1.181.O.	3
1.182.O.	0
1.183.O.	34
1.184.A.	34
1.185.O.	11
1.186.O.	4
1.187.O.	30
1.188.A.	32
1.188.B.	32
1.188.C.	32
1.189.B.	19
1.189.C.	19
1.189.O.	19
1.190.O.	31
1.191.O.	3
1.193.O.	30
1.194.O.	13
1.195.O.	13
1.196.O.	13
1.197.A.	15
1.198.A.	27
1.198.B.	27
1.199.A.	4
1.199.B.	4
1.200.O.	13
1.201.B.	3
1.202.O.	0
1.204.O.	0
1.205.O.	0
1.206.O.	19
1.207.B.	25
1.208.B.	35
1.209.O.	8
1.210.O.	21
1.211.A.	34
1.211.B.	34
1.213.O.	26
1.214.O.	7
1.215.A.	36
1.215.B.	36
1.216.O.	26
1.217.O.	14
1.219.O.	14
1.223.O.	3
1.224.A.	32
1.225.O.	3
1.226.O.	19
1.228.O.	19
1.231.O.	26
1.232.O.	0
1.233.A.	19
1.233.B.	19
1.235.O.	37
1.236.O.	27
1.237.A.	6
1.237.B.	6
1.238.A.	38
1.238.B.	38
1.239.O.	19
1.240.O.	19
1.242.O.	19
1.243.O.	4
1.244.A.	39
1.245.O.	38
1.246.O.	3
1.247.A.	7
1.247.B.	7
1.248.O.	4
1.249.A.	40
1.249.B.	40
1.250.O.	6
1.251.O.	6
1.253.O.	37
1.254.O.	28
1.255.O.	39
1.256.O.	4
1.257.O.	28
1.259.O.	29
1.261.O.	32
1.262.O.	0
1.263.A.	4
1.263.B.	4
1.264.O.	37
1.265.O.	27
1.266.O.	19
1.267.O.	13
1.268.A.	13
1.268.B.	13
1.269.O.	13
1.270.A.	13
1.270.B.	13
1.271.A.	13
1.271.B.	13
1.272.O.	13
1.273.O.	4
1.274.O.	13
1.275.O.	0
1.276.O.	0
1.277.A.	13
1.277.B.	13
1.278.O.	4
1.280.O.	13
1.281.O.	13
1.282.A.	13
1.283.A.	13
1.283.B.	13
1.283.C.	13
1.284.A.	15
1.285.O.	6
1.286.O.	4
1.287.O.	15
1.289.A.	15
1.291.O.	15
1.293.O.	35
12G01.O.	1
2.044.O.	2
2.058.O.	41
2.092.O.	5
2.095.A.	33
2.095.B.	33
2.096.O.	16
2.117.O.	25
2.130.O.	12
2.159.A.	14
2.159.B.	14
2.275.O.	22
3.058.O.	41
