organism	protein_cluster
1.085.O.	pvp1000
1.131.O.	pvp1000
1.206.O.	pvp1000
1.270.B.	pvp1000
1.281.O.	pvp1000
1.282.A.	pvp1000
1.022.O.	pvp1000
1.283.A.	pvp1000
1.283.C.	pvp1000
1.104.O.	pvp1000
1.088.O.	pvp1000
1.033.O.	pvp1000
1.285.O.	pvp1000
1.024.O.	pvp1000
1.089.O.	pvp1000
1.237.B.	pvp1000
1.269.O.	pvp1000
1.118.A.	pvp1000
1.118.B.	pvp1000
1.046.O.	pvp1000
1.268.A.	pvp1000
1.270.A.	pvp1000
1.274.O.	pvp1000
1.027.O.	pvp1000
1.194.O.	pvp1000
1.277.A.	pvp1000
1.277.B.	pvp1000
1.271.A.	pvp1000
1.271.B.	pvp1000
1.171.O.	pvp1000
1.251.O.	pvp1000
1.032.O.	pvp1000
1.250.O.	pvp1000
1.168.O.	pvp1000
1.082.O.	pvp1000
1.148.O.	pvp1000
1.074.O.	pvp1000
1.162.O.	pvp1000
1.233.B.	pvp1000
1.233.A.	pvp1000
1.266.O.	pvp1000
1.133.O.	pvp1000
1.242.O.	pvp1000
1.167.O.	pvp1000
1.110.O.	pvp1000
1.198.B.	pvp1000
1.198.A.	pvp1000
1.226.O.	pvp1000
1.064.O.	pvp1000
1.157.O.	pvp1000
1.178.O.	pvp1000
1.113.A.	pvp1000
1.197.A.	pvp1000
1.291.O.	pvp1000
1.047.O.	pvp1000
1.289.A.	pvp1000
1.287.O.	pvp1000
1.060.A.	pvp1000
1.283.B.	pvp1000
1.268.B.	pvp1000
1.116.O.	pvp1000
1.134.O.	pvp1000
1.284.A.	pvp1000
1.196.O.	pvp1000
1.098.O.	pvp1000
1.160.O.	pvp1000
1.132.O.	pvp1000
1.115.A.	pvp1000
1.189.O.	pvp1000
1.108.O.	pvp1000
1.228.O.	pvp1000
1.200.O.	pvp1000
1.237.A.	pvp1000
1.135.O.	pvp1000
1.265.O.	pvp1000
1.240.O.	pvp1000
1.239.O.	pvp1000
1.165.O.	pvp1000
1.172.O.	pvp1000
1.189.B.	pvp1000
1.189.C.	pvp1000
1.147.O.	pvp1000
1.115.B.	pvp1000
1.236.O.	pvp1000
1.195.O.	pvp1000
1.023.O.	pvp1000
1.267.O.	pvp1000
1.280.O.	pvp1000
1.103.O.	pvp1000
1.272.O.	pvp1000
1.012.O.	pvp1000
1.176.O.	pvp1000
1.161.O.	pvp1001
1.232.O.	pvp1001
2.130.O.	pvp1001
1.026.O.	pvp1001
1.025.O.	pvp1001
2.058.O.	pvp1001
1.187.O.	pvp1001
1.210.O.	pvp1001
1.184.A.	pvp1001
1.178.O.	pvp1001
1.198.B.	pvp1001
1.198.A.	pvp1001
1.097.O.	pvp1001
1.231.O.	pvp1001
1.119.O.	pvp1001
1.143.O.	pvp1001
1.122.B.	pvp1001
1.122.A.	pvp1001
1.223.O.	pvp1001
1.113.A.	pvp1001
1.060.A.	pvp1001
1.082.O.	pvp1001
2.095.A.	pvp1001
1.047.O.	pvp1001
1.186.O.	pvp1001
1.291.O.	pvp1001
1.063.O.	pvp1001
1.242.O.	pvp1001
1.167.O.	pvp1001
1.038.O.	pvp1001
1.084.O.	pvp1001
1.244.A.	pvp1001
1.233.A.	pvp1001
1.233.B.	pvp1001
1.226.O.	pvp1001
1.175.O.	pvp1001
1.174.O.	pvp1001
1.164.O.	pvp1001
1.100.O.	pvp1001
1.127.O.	pvp1001
1.116.O.	pvp1001
1.172.O.	pvp1001
3.058.O.	pvp1001
1.152.O.	pvp1001
1.265.O.	pvp1001
1.135.O.	pvp1001
1.086.O.	pvp1001
1.193.O.	pvp1001
1.144.O.	pvp1001
1.170.O.	pvp1001
1.255.O.	pvp1001
1.276.O.	pvp1001
1.029.O.	pvp1001
1.150.O.	pvp1001
1.236.O.	pvp1001
1.183.O.	pvp1001
2.095.B.	pvp1001
1.003.O.	pvp1002
1.255.O.	pvp1002
1.244.A.	pvp1002
1.032.O.	pvp1002
1.175.O.	pvp1002
1.030.O.	pvp1002
1.246.O.	pvp1002
1.087.A.	pvp1002
1.283.A.	pvp1002
1.283.C.	pvp1002
1.270.B.	pvp1002
1.277.B.	pvp1002
1.271.A.	pvp1002
1.270.A.	pvp1002
1.282.A.	pvp1002
1.277.A.	pvp1002
1.281.O.	pvp1002
1.269.O.	pvp1002
1.194.O.	pvp1002
1.274.O.	pvp1002
1.171.O.	pvp1002
1.271.B.	pvp1002
1.027.O.	pvp1002
1.268.A.	pvp1002
1.113.A.	pvp1002
1.047.O.	pvp1002
1.291.O.	pvp1002
1.118.A.	pvp1002
1.118.B.	pvp1002
1.089.O.	pvp1002
1.237.B.	pvp1002
1.197.A.	pvp1002
1.031.O.	pvp1002
1.289.A.	pvp1002
1.287.O.	pvp1002
1.181.O.	pvp1002
1.060.A.	pvp1002
1.199.B.	pvp1002
1.199.A.	pvp1002
1.164.O.	pvp1002
1.086.O.	pvp1002
1.005.O.	pvp1002
1.191.O.	pvp1002
1.223.O.	pvp1002
1.237.A.	pvp1002
1.158.O.	pvp1002
1.201.B.	pvp1002
1.075.O.	pvp1002
1.284.A.	pvp1002
1.268.B.	pvp1002
1.196.O.	pvp1002
1.283.B.	pvp1002
1.200.O.	pvp1002
1.160.O.	pvp1002
1.098.O.	pvp1002
1.147.O.	pvp1002
1.162.O.	pvp1002
1.173.O.	pvp1002
1.093.O.	pvp1002
1.017.O.	pvp1002
1.094.O.	pvp1002
1.225.O.	pvp1002
1.100.O.	pvp1002
1.124.O.	pvp1002
12G01.O.	pvp1002
1.185.O.	pvp1002
1.280.O.	pvp1002
1.293.O.	pvp1002
1.103.O.	pvp1002
1.084.O.	pvp1002
1.267.O.	pvp1002
1.195.O.	pvp1002
1.272.O.	pvp1002
1.012.O.	pvp1002
1.071.A.	pvp1003
1.016.O.	pvp1003
1.175.O.	pvp1003
1.186.O.	pvp1003
1.106.O.	pvp1003
1.273.O.	pvp1003
1.149.O.	pvp1003
1.087.A.	pvp1003
1.007.O.	pvp1003
