phage	illumina_genome_len
1.003.O.	41891
1.004.O.	42511
1.005.O.	50301
1.007.O.	49244
1.008.O.	10579
1.009.O.	44443
1.011.O.	10579
1.012.O.	59979
1.013.O.	44457
1.015.O.	42586
1.016.O.	48078
1.017.O.	51290
1.020.O.	10636
1.021.A.	43743
1.021.B.	43743
1.021.C.	43743
1.022.O.	62440
1.023.O.	59872
1.024.O.	58892
1.025.O.	75797
1.026.O.	75880
1.027.O.	59297
1.028.O.	31704
1.029.O.	46513
1.030.O.	45827
1.031.O.	152942
1.032.O.	60399
1.033.O.	61206
1.034.O.	44398
1.034.X.	44383
1.036.O.	40172
1.037.O.	43111
1.038.O.	49567
1.039.O.	40972
1.040.O.	10579
1.042.O.	49730
1.043.O.	10272
1.044.O.	10272
1.046.O.	62503
1.047.O.	46106
1.048.O.	10447
1.049.O.	45021
1.050.O.	45285
1.052.A.	42889
1.054.O.	41774
1.055.O.	47199
1.056.O.	47054
1.057.O.	10273
1.060.A.	41105
1.061.O.	41667
1.062.O.	10579
1.063.O.	128641
1.064.O.	36584
1.066.O.	47053
1.067.O.	40955
1.068.O.	47038
1.069.O.	10579
1.070.O.	44087
1.071.A.	48114
1.072.O.	43788
1.074.O.	36922
1.075.O.	51290
1.076.O.	47914
1.077.O.	44047
1.079.O.	42375
1.080.O.	10046
1.081.O.	239318
1.082.O.	35810
1.083.O.	45120
1.084.O.	141906
1.085.O.	37820
1.086.O.	50835
1.087.A.	45674
1.088.O.	60385
1.089.O.	59851
1.090.B.	41868
1.091.O.	43134
1.093.O.	51290
1.094.O.	51290
1.095.O.	10436
1.097.O.	76918
1.098.O.	59851
1.100.O.	51268
1.101.O.	130250
1.102.O.	10447
1.103.O.	61748
1.104.O.	60990
1.105.O.	49123
1.106.O.	47070
1.107.A.	10447
1.107.B.	10447
1.107.C.	10447
1.108.O.	36584
1.110.O.	37556
1.111.A.	40209
1.111.B.	40209
1.112.O.	48149
1.113.A.	44150
1.115.A.	37416
1.115.B.	37416
1.116.O.	36314
1.117.O.	55794
1.118.A.	60458
1.118.B.	60458
1.119.O.	44527
1.121.O.	145590
1.122.A.	44523
1.122.B.	44523
1.123.O.	46071
1.124.O.	47604
1.125.O.	10578
1.127.O.	44915
1.131.O.	37933
1.132.O.	36926
1.133.O.	37087
1.134.O.	36379
1.135.O.	41918
1.136.O.	21396
1.137.O.	37958
1.138.O.	32510
1.139.A.	43893
1.139.B.	44094
1.141.A.	10047
1.142.O.	30434
1.143.O.	44527
1.144.O.	44418
1.147.O.	37360
1.148.O.	36789
1.149.O.	48481
1.150.O.	75796
1.151.O.	44307
1.152.O.	75798
1.154.O.	37136
1.155.O.	29029
1.156.O.	31617
1.157.O.	35855
1.158.O.	46507
1.159.O.	31617
1.160.O.	60734
1.161.O.	140668
1.162.O.	37360
1.164.O.	48235
1.165.O.	37046
1.166.O.	21800
1.167.O.	35811
1.168.O.	37551
1.169.O.	72290
1.170.O.	133692
1.171.O.	60216
1.172.O.	36314
1.173.O.	48063
1.174.O.	47063
1.175.O.	49066
1.176.O.	36463
1.177.O.	45439
1.178.O.	39934
1.179.O.	31498
1.181.O.	50228
1.182.O.	36910
1.183.O.	37411
1.184.A.	33272
1.185.O.	43397
1.186.O.	48643
1.187.O.	133254
1.188.A.	72305
1.188.B.	72305
1.188.C.	72305
1.189.B.	36855
1.189.C.	36855
1.189.O.	36855
1.190.O.	21785
1.191.O.	48354
1.193.O.	132560
1.194.O.	59294
1.195.O.	59738
1.196.O.	59414
1.197.A.	44587
1.198.A.	44472
1.198.B.	44343
1.199.A.	48312
1.199.B.	48312
1.200.O.	59297
1.201.B.	50506
1.202.O.	32014
1.204.O.	44168
1.205.O.	57861
1.206.O.	37551
1.207.B.	55793
1.208.B.	48927
1.209.O.	43712
1.210.O.	48224
1.211.A.	37169
1.211.B.	37169
1.213.O.	42443
1.214.O.	44205
1.215.A.	80834
1.215.B.	80834
1.216.O.	41359
1.217.O.	26912
1.219.O.	31617
1.223.O.	49535
1.224.A.	71915
1.225.O.	52615
1.226.O.	35655
1.228.O.	36667
1.231.O.	44527
1.232.O.	56736
1.233.A.	36823
1.233.B.	36823
1.235.O.	47017
1.236.O.	42646
1.237.A.	60097
1.237.B.	60160
1.238.A.	70494
1.238.B.	70467
1.239.O.	38618
1.240.O.	36710
1.242.O.	36910
1.243.O.	48414
1.244.A.	159885
1.245.O.	71702
1.246.O.	47133
1.247.A.	43896
1.247.B.	43896
1.248.O.	48301
1.249.A.	10611
1.249.B.	10611
1.250.O.	59981
1.251.O.	59649
1.253.O.	47008
1.254.O.	32699
1.255.O.	159885
1.256.O.	48207
1.257.O.	32371
1.259.O.	28145
1.261.O.	71992
1.262.O.	47635
1.263.A.	49640
1.263.B.	49640
1.264.O.	47739
1.265.O.	43630
1.266.O.	34788
1.267.O.	59414
1.268.A.	59297
1.268.B.	59297
1.269.O.	59738
1.270.A.	59294
1.270.B.	59294
1.271.A.	59297
1.271.B.	59297
1.272.O.	59297
1.273.O.	48145
1.274.O.	59409
1.275.O.	37915
1.276.O.	44334
1.277.A.	59297
1.277.B.	59419
1.278.O.	49282
1.280.O.	59297
1.281.O.	59297
1.282.A.	59359
1.283.A.	59530
1.283.B.	59530
1.283.C.	59530
1.284.A.	45648
1.285.O.	59437
1.286.O.	49131
1.287.O.	45562
1.289.A.	44529
1.291.O.	43662
1.293.O.	48275
12G01.O.	41498
2.044.O.	45020
2.058.O.	101637
2.092.O.	10580
2.095.A.	44649
2.095.B.	44649
2.096.O.	44683
2.117.O.	55795
2.130.O.	75797
2.159.A.	31704
2.159.B.	31617
2.275.O.	348911
3.058.O.	101642
